date,day,pen,diet,feed_intake,dry_intake_old,dry_intake,cumul_feed,cumul_dry_old,cumul_dry
2023-01-03,0,2,TMR,115.6,46.09,45.43,115.6,46.09,45.43
2023-01-03,0,3,CTRL,51.76,46.08,44.62,51.76,46.08,44.62
2023-01-03,0,4,CTRL,52.56,46.8,45.31,52.56,46.8,45.31
2023-01-03,0,5,TMR,128.6,51.28,50.54,128.6,51.28,50.54
2023-01-04,1,2,TMR,111.65,44.52,43.88,227.25,90.61,89.31
2023-01-04,1,3,CTRL,51.3,45.67,44.22,103.06,91.75,88.84
2023-01-04,1,4,CTRL,53.8,47.9,46.38,106.36,94.7,91.69
2023-01-04,1,5,TMR,125.15,49.9,49.18,253.75,101.18,99.72
2023-01-05,2,2,TMR,67.9,27.07,26.68,295.15,117.68,115.99
2023-01-05,2,3,CTRL,57.85,51.5,49.87,160.91,143.25,138.71
2023-01-05,2,4,CTRL,59.15,52.66,50.99,165.51,147.36,142.68
2023-01-05,2,5,TMR,137.8,54.94,54.16,391.55,156.12,153.88
2023-01-06,3,2,TMR,119.25,47.54,46.87,414.4,165.22,162.86
2023-01-06,3,3,CTRL,60.25,53.64,51.94,221.16,196.89,190.65
2023-01-06,3,4,CTRL,58.85,52.4,50.73,224.36,199.76,193.41
2023-01-06,3,5,TMR,128.25,51.14,50.4,519.8,207.26,204.28
2023-01-07,4,2,TMR,102.4,40.82,40.24,516.8,206.04,203.1
2023-01-07,4,3,CTRL,58.38,51.97,50.32,279.54,248.86,240.97
2023-01-07,4,4,CTRL,57.98,51.62,49.98,282.34,251.38,243.39
2023-01-07,4,5,TMR,113.7,45.33,44.68,633.5,252.59,248.96
2023-01-08,5,2,TMR,104.6,41.7,41.11,621.4,247.74,244.21
2023-01-08,5,3,CTRL,55.75,49.64,48.06,335.29,298.5,289.03
2023-01-08,5,4,CTRL,61.95,55.16,53.4,344.29,306.54,296.79
2023-01-08,5,5,TMR,118.8,47.36,46.69,752.3,299.95,295.65
2023-01-09,6,2,TMR,104.7,41.74,41.15,726.1,289.48,285.36
2023-01-09,6,3,CTRL,58.65,52.22,50.56,393.94,350.72,339.59
2023-01-09,6,4,CTRL,56.25,50.08,48.49,400.54,356.62,345.28
2023-01-09,6,5,TMR,139.4,55.58,54.78,891.7,355.53,350.43
2023-01-10,7,2,TMR,113.4,45.22,44.57,839.5,334.7,329.93
2023-01-10,7,3,CTRL,50.4,44.87,43.44,444.34,395.59,383.03
2023-01-10,7,4,CTRL,55.8,49.68,48.1,456.34,406.3,393.38
2023-01-10,7,5,TMR,132.9,52.98,52.23,1024.6,408.51,402.66
2023-01-11,8,2,TMR,116.2,46.33,45.67,955.7,381.03,375.6
2023-01-11,8,3,CTRL,51.05,45.45,44.01,495.39,441.04,427.04
2023-01-11,8,4,CTRL,58.05,51.68,50.04,514.39,457.98,443.42
2023-01-11,8,5,TMR,126.1,50.28,49.56,1150.7,458.79,452.22
2023-01-12,9,2,TMR,119.8,47.76,47.08,1075.5,428.79,422.68
2023-01-12,9,3,CTRL,51.2,45.59,44.13,546.59,486.63,471.17
2023-01-12,9,4,CTRL,57.8,51.46,49.82,572.19,509.44,493.24
2023-01-12,9,5,TMR,134.4,53.58,52.82,1285.1,512.37,505.04
2023-01-13,10,2,TMR,105.85,42.2,41.6,1181.35,470.99,464.28
2023-01-13,10,3,CTRL,52.55,46.78,45.3,599.14,533.41,516.47
2023-01-13,10,4,CTRL,54.55,48.56,47.02,626.74,558.0,540.26
2023-01-13,10,5,TMR,130.15,51.89,51.15,1415.25,564.26,556.19
2023-01-14,11,2,TMR,85.35,34.03,33.54,1266.7,505.02,497.82
2023-01-14,11,3,CTRL,54.5,48.52,46.98,653.64,581.93,563.45
2023-01-14,11,4,CTRL,52.4,46.65,45.17,679.14,604.65,585.43
2023-01-14,11,5,TMR,93.45,37.26,36.73,1508.7,601.52,592.92
2023-01-15,12,2,TMR,120.15,47.9,47.22,1386.85,552.92,545.04
2023-01-15,12,3,CTRL,54.4,48.43,46.89,708.04,630.36,610.34
2023-01-15,12,4,CTRL,57.8,51.46,49.82,736.94,656.11,635.25
2023-01-15,12,5,TMR,119.35,47.58,46.9,1628.05,649.1,639.82
2023-01-16,13,2,TMR,102.8,40.98,40.4,1489.65,593.9,585.44
2023-01-16,13,3,CTRL,55.8,49.68,48.1,763.84,680.04,658.44
2023-01-16,13,4,CTRL,54.6,48.61,47.07,791.54,704.72,682.32
2023-01-16,13,5,TMR,103.5,41.26,40.68,1731.55,690.36,680.5
2023-01-17,14,2,TMR,96.8,38.6,38.04,1586.45,632.5,623.48
2023-01-17,14,3,CTRL,51.0,45.4,43.96,814.84,725.44,702.4
