tier,entity,tW
individual,PT033634130,0.007236901681316227
individual,PT224401177,0.08330643550422254
individual,PT233843883,0.027085967311368087
individual,PT333653651,0.015265236981381537
individual,PT333842562,0.05066341215303615
individual,PT424401157,0.009920797393480202
individual,PT433843806,0.04332164026600109
individual,PT524401180,0.0241335265071949
individual,PT524956505,0.07705925740814557
individual,PT533358890,0.04839406553094241
individual,PT533843896,0.021661574678623393
individual,PT533987885,0.006183771504132702
individual,PT624139868,0.02822988572787596
individual,PT724523831,0.04889408872102516
individual,PT833653644,0.017915145648376665
individual,PT833653649,0.041168444139021015
individual,PT924401183,0.09765235471307386
individual,PT933602927,0.02318963374379767
individual,PT933843894,0.04175135082595914
individual,PT933843912,0.03777388384994195
