ind_id,tier_sample,tW
PT033634130,male,0.0064605732911759365
PT224401177,male,0.08083454522547294
PT233843883,male,0.02479073375399743
PT333653651,male,0.012852179290815129
PT333842562,male,0.0485050734889774
PT424401157,male,0.00832963977288965
PT433843806,male,0.04115908824765909
PT524401180,male,0.02244100099896658
PT524956505,male,0.07466361920788611
PT533358890,male,0.046455719517565504
PT533843896,male,0.019595452306992566
PT533987885,male,0.0052032273907665376
PT624139868,male,0.026324926664526856
PT724523831,male,0.049902349499235006
PT833653644,male,0.016393179359571762
PT833653649,male,0.03895677686628927
PT924401183,male,0.09545079128218113
PT933602927,male,0.021363721941312083
PT933843894,male,0.03950989882942148
PT933843912,male,0.035906272921936745
