tier,entity,tW
individual,PT033634130,0.029741081080320524
individual,PT224401177,0.03142318619961474
individual,PT233843883,0.006365151183368863
individual,PT333653651,0.014748598354583602
individual,PT333842562,0.011027811903273661
individual,PT424401157,0.02304150877690313
individual,PT433843806,0.017847152399147862
individual,PT524401180,0.041784434367929724
individual,PT524956505,0.02455155258997082
individual,PT533358890,0.023108792184644886
individual,PT533843896,0.0357690827454754
individual,PT533987885,0.05456221140334361
individual,PT624139868,0.01010278971006985
individual,PT724523831,0.0619024326577558
individual,PT833653644,0.022771244111140277
individual,PT833653649,0.015297404079050192
individual,PT924401183,0.04506132103985772
individual,PT933602927,0.03472740165599822
individual,PT933843894,0.013901317548253052
individual,PT933843912,0.01803381030588889
