tier,entity,tW
individual,PT033634130,0.1366370662387809
individual,PT224401177,0.04898097068238906
individual,PT233843883,0.1411564526843877
individual,PT333653651,0.11916417726673854
individual,PT333842562,0.10850694608176066
individual,PT424401157,0.1359563232788236
individual,PT433843806,1.1951158791269973
individual,PT524401180,0.1294724108474911
individual,PT524956505,0.051819950533694134
individual,PT533358890,0.36230499894870943
individual,PT533843896,0.08016882542025403
individual,PT533987885,0.12416868404524793
individual,PT624139868,0.15353311028059058
individual,PT724523831,0.10475938291882488
individual,PT833653644,0.10775203815795915
individual,PT833653649,0.11699193748763118
individual,PT924401183,0.03113151255692835
individual,PT933602927,0.06935528598140565
individual,PT933843894,0.11150815474028508
individual,PT933843912,0.13588203217422246
