ind_id,tier_sample,tW
PT033634130,PT033634130,0.019316745338567302
PT224401177,PT224401177,0.008080332242970844
PT233843883,PT233843883,0.00853559028146426
PT333653651,PT333653651,0.013132991445261354
PT333842562,PT333842562,0.016125660507894886
PT424401157,PT424401157,0.03223897177775749
PT433843806,PT433843806,0.01757013688061283
PT524401180,PT524401180,0.03415626074892664
PT524956505,PT524956505,0.0069120409374286524
PT533358890,PT533358890,0.015956510285389282
PT533843896,PT533843896,0.02483400317665985
PT533987885,PT533987885,0.036256734782355846
PT624139868,PT624139868,0.02572877713296913
PT724523831,PT724523831,0.052537301018371174
PT833653644,PT833653644,0.035847510221210625
PT833653649,PT833653649,0.0197506763082119
PT924401183,PT924401183,0.014252460381393713
PT933602927,PT933602927,0.022899031127876883
PT933843894,PT933843894,0.01938316345927395
PT933843912,PT933843912,0.01974746192468661
