entity,p_Am,kap_X
PT424401157,1709.0099339416645,0.26096074142480175
PT624139868,1703.6522189966518,0.20055046939009633
PT833653649,2659.4131116026238,0.2562798404329184
PT533843896,2454.6493909264573,0.2371743008075251
PT933843894,2638.970489730323,0.25457133558194367
PT433843806,6706.512694874294,0.3323996019261659
PT333653651,1777.0801629257824,0.15922538063829172
PT224401177,2596.576789671264,0.24034903706517574
PT724523831,1725.8987013526594,0.20433612706035342
PT333842562,2665.941509515511,0.2537059985152221
PT833653644,1788.6082873260561,0.37134088556983325
PT533987885,2529.3786415433033,0.24956051729072476
PT524401180,2597.1141505838727,0.2542191784374036
PT933843912,1785.7431950427876,0.33388078971983437
PT533358890,3503.623138990848,0.25878740697898117
PT924401183,2578.254628068178,0.2384352293798342
PT524956505,2577.4656016477957,0.23934912489107174
PT233843883,1747.4154902840444,0.2082982230602769
PT033634130,1691.7161983076696,0.3152849229034258
PT933602927,2419.6166073484455,0.23486659810561028
