tier_sample,estim_time,tW,tJX_grp
PT533843896,33.142773,0.01539557357326599,0.05626002123547125
PT424401157,32.017527,0.026226571587447334,0.09300914495829189
PT924401183,33.142773,0.01539557357326599,0.05626002123547125
PT933843912,32.017527,0.026226571587447334,0.09300914495829189
PT933602927,33.142773,0.01539557357326599,0.05626002123547125
PT333842562,33.655366,0.025134499161332646,0.060015068381550116
PT524401180,33.655366,0.025134499161332646,0.060015068381550116
PT533358890,30.669065,0.021895827673810674,0.10182862044783818
PT333653651,30.669065,0.021895827673810674,0.10182862044783818
PT833653649,33.655366,0.025134499161332646,0.060015068381550116
PT233843883,30.669065,0.021895827673810674,0.10182862044783818
PT524956505,33.142773,0.01539557357326599,0.05626002123547125
PT433843806,32.017527,0.026226571587447334,0.09300914495829189
PT933843894,33.655366,0.025134499161332646,0.060015068381550116
PT833653644,32.017527,0.026226571587447334,0.09300914495829189
PT724523831,30.669065,0.021895827673810674,0.10182862044783818
PT224401177,33.142773,0.01539557357326599,0.05626002123547125
PT033634130,30.669065,0.021895827673810674,0.10182862044783818
PT624139868,32.017527,0.026226571587447334,0.09300914495829189
PT533987885,33.655366,0.025134499161332646,0.060015068381550116
